rank,artist,genres,popularity,followers
1,Frank Ocean,"r&b, neo soul, indie",88,39016601
2,J. Cole,"hip-hop, conscious rap",88,27432167
3,Tame Impala,"psychedelic pop, indie rock",85,16217422
4,Travis Scott,"hip-hop, trap, psychedelic",93,73120437
5,The Weeknd,"r&b, pop, synthpop",92,16064686
6,"Tyler, the Creator","hip-hop, alternative rap",89,45898034
7,Mac Miller,"hip-hop, alternative rap",85,74671004
8,Arctic Monkeys,"indie rock, garage rock",86,40194679
9,SZA,"r&b, pop, neo soul",90,39144737
10,Kendrick Lamar,"hip-hop, conscious rap",91,46555937
