rank,track_id,track_name,artist,artist_id,all_artists,album,album_id,release_date,popularity,duration_ms,explicit,external_url,preview_url,time_range,extracted_at,duration_min,release_year,era,popularity_category
1,21syhl9aagHDATZqFHkfjD,LOVE,Clarent,78F6Xkd46aMHkr4AP60TXY,Clarent,No vuelve a suceder (calentamiento pre álbum),13w7ZVbjnSHgp6xEER3KJB,2026-01-08,,172800,True,https://open.spotify.com/track/21syhl9aagHDATZqFHkfjD,,medium_term,2026-06-02T21:59:56.757572+00:00,2.88,2026,2020s,Unknown
2,5kcUyHYlkslvtvsUDcuX3e,4life,Kris Floyd,7aG8YUI5alfF2pi0n5Cg5H,Kris Floyd,29 (Mixtape),2PEFU8wUp6740B4TR1LNfz,2024-10-29,,135649,True,https://open.spotify.com/track/5kcUyHYlkslvtvsUDcuX3e,,medium_term,2026-06-02T21:59:56.757624+00:00,2.26,2024,2020s,Unknown
3,4HyPxBQDLUnY3w7gukITrW,ROSITA,Tainy,0GM7qgcRCORpGnfcN2tCiB,"Tainy, Rauw Alejandro, JHAYCO",ROSITA,3kU2wmmT1ix5kSHtNm1rFD,2026-02-19,,245469,True,https://open.spotify.com/track/4HyPxBQDLUnY3w7gukITrW,,medium_term,2026-06-02T21:59:56.757636+00:00,4.09,2026,2020s,Unknown
4,2WcmMJtgzA6SOgL8eysBcU,Queen,Kris Floyd,7aG8YUI5alfF2pi0n5Cg5H,Kris Floyd,En Lo Que Vuelvo (Mixtape),7D0o5zdQSlzpDzqGcOE4ow,2024-06-12,,160082,True,https://open.spotify.com/track/2WcmMJtgzA6SOgL8eysBcU,,medium_term,2026-06-02T21:59:56.757646+00:00,2.67,2024,2020s,Unknown
5,4kbMhMwfbVtqbqqFEw6y8C,Mokai,JHAYCO,6nVcHLIgY5pE2YCl8ubca1,JHAYCO,Le Clique: Vida Rockstar (X),67JIMv9vCB2ukBdEbtUmUG,2024-09-06,,145866,False,https://open.spotify.com/track/4kbMhMwfbVtqbqqFEw6y8C,,medium_term,2026-06-02T21:59:56.757656+00:00,2.43,2024,2020s,Unknown
6,4fwKpMyCBWCaj0W45a3emW,DIGITAL15,Yk It’s Junaa,4tgNxPUJKyOY0VkbzJ44iE,Yk It’s Junaa,DIGITAL15,3VSKr1IIgKqteToundEf0e,2025-09-09,,175007,True,https://open.spotify.com/track/4fwKpMyCBWCaj0W45a3emW,,medium_term,2026-06-02T21:59:56.757665+00:00,2.92,2025,2020s,Unknown
7,2tAwNLAIBtgXdzQOtVq6mL,PIDE,Mora,0Q8NcsJwoCbZOHHW63su5S,"Mora, RaiNao",ESTRELLA,0SoJvPHbKVhvmVJOp3kzp3,2023-08-28,,207903,True,https://open.spotify.com/track/2tAwNLAIBtgXdzQOtVq6mL,,medium_term,2026-06-02T21:59:56.757675+00:00,3.47,2023,2020s,Unknown
8,1oghNMGW42IhtQPNU6leZz,VAMOaCOCHI,Omar Courtz,3E12tRURRvPfHz0hAMCFYc,Omar Courtz,POR SI MAÑANA NO ESTOY,6A7uWpBb4nHbiBHWRlZi5f,2026-02-19,,199253,True,https://open.spotify.com/track/1oghNMGW42IhtQPNU6leZz,,medium_term,2026-06-02T21:59:56.757683+00:00,3.32,2026,2020s,Unknown
9,7jnSlMG2jKJmKvAWxufk2I,WHAT U NEED? (SexPlaylist 2),Omar Courtz,3E12tRURRvPfHz0hAMCFYc,"Omar Courtz, Myke Towers",POR SI MAÑANA NO ESTOY,6A7uWpBb4nHbiBHWRlZi5f,2026-02-19,,265833,True,https://open.spotify.com/track/7jnSlMG2jKJmKvAWxufk2I,,medium_term,2026-06-02T21:59:56.757692+00:00,4.43,2026,2020s,Unknown
10,6DlsjtDtHj75XUzE7HtuY3,DEDICANDOME,Myke Towers,7iK8PXO48WeuP03g8YR51W,Myke Towers,LVEU: VIVE LA TUYA...NO LA MIA,1ZVJTCW5rxpHKNgsNL91J2,2023-09-18,,154081,True,https://open.spotify.com/track/6DlsjtDtHj75XUzE7HtuY3,,medium_term,2026-06-02T21:59:56.757701+00:00,2.57,2023,2020s,Unknown
11,3vqxapus26imChRaRh51T9,Habibi,JHAYCO,6nVcHLIgY5pE2YCl8ubca1,JHAYCO,Le Clique: Vida Rockstar (X),67JIMv9vCB2ukBdEbtUmUG,2024-09-06,,166053,False,https://open.spotify.com/track/3vqxapus26imChRaRh51T9,,medium_term,2026-06-02T21:59:56.757709+00:00,2.77,2024,2020s,Unknown
12,1tz7RZirwiuaJw2p0jbdHb,KOKO,Omar Courtz,3E12tRURRvPfHz0hAMCFYc,Omar Courtz,POR SI MAÑANA NO ESTOY,6A7uWpBb4nHbiBHWRlZi5f,2026-02-19,,195146,True,https://open.spotify.com/track/1tz7RZirwiuaJw2p0jbdHb,,medium_term,2026-06-02T21:59:56.757719+00:00,3.25,2026,2020s,Unknown
13,4FEPcLJAyz0MI5J20Y5Y3C,SWAGGER,Luis Brown,1f7FtdbdaRjeeOr0gK9f3L,Luis Brown,THREESOME,7v2dlsw6aEXnHheR8dP1Sy,2026-03-19,,124866,True,https://open.spotify.com/track/4FEPcLJAyz0MI5J20Y5Y3C,,medium_term,2026-06-02T21:59:56.757728+00:00,2.08,2026,2020s,Unknown
14,0RyZNWHp2DmSVO2H5nVWzs,FRESHSTYLE,Loui Santana,6QoAK6MFPyiqmoTdFTsjlh,Loui Santana,58,0MP2I47Rf2iuBeB1eHnvSO,2020-04-30,,101711,True,https://open.spotify.com/track/0RyZNWHp2DmSVO2H5nVWzs,,medium_term,2026-06-02T21:59:56.757737+00:00,1.7,2020,2020s,Unknown
15,0kxfIsZDGSfAAdqD35YonF,YOU KNOW IT'S LOVEE,Yk It’s Junaa,4tgNxPUJKyOY0VkbzJ44iE,"Yk It’s Junaa, Myke Towers",YOU KNOW IT'S LOVEE,5ryAwuDL8fJt5BbA4bv4bx,2026-01-30,,171612,False,https://open.spotify.com/track/0kxfIsZDGSfAAdqD35YonF,,medium_term,2026-06-02T21:59:56.757748+00:00,2.86,2026,2020s,Unknown
16,6OoYmAP9oZtBiSomWpDTWP,L a k e n o s h i,Omar Courtz,3E12tRURRvPfHz0hAMCFYc,Omar Courtz,POR SI MAÑANA NO ESTOY,6A7uWpBb4nHbiBHWRlZi5f,2026-02-19,,207533,True,https://open.spotify.com/track/6OoYmAP9oZtBiSomWpDTWP,,medium_term,2026-06-02T21:59:56.757769+00:00,3.46,2026,2020s,Unknown
17,3Rh4hPOaCCk98ktQIlnmDT,CUARTO TEMA,Loui Santana,6QoAK6MFPyiqmoTdFTsjlh,Loui Santana,58,0MP2I47Rf2iuBeB1eHnvSO,2020-04-30,,168000,True,https://open.spotify.com/track/3Rh4hPOaCCk98ktQIlnmDT,,medium_term,2026-06-02T21:59:56.757778+00:00,2.8,2020,2020s,Unknown
18,6CoFGVlVpsVpWaUqK5xKTr,XX,JHAYCO,6nVcHLIgY5pE2YCl8ubca1,JHAYCO,Le Clique: Vida Rockstar (X),67JIMv9vCB2ukBdEbtUmUG,2024-09-06,,265320,False,https://open.spotify.com/track/6CoFGVlVpsVpWaUqK5xKTr,,medium_term,2026-06-02T21:59:56.757788+00:00,4.42,2024,2020s,Unknown
19,09tYvFOFp1pKxZ8GJVlOXm,Como Se Siente,JHAYCO,6nVcHLIgY5pE2YCl8ubca1,JHAYCO,Famouz Reloaded,7gDjowB5fv1LkntmDVv0jT,2020-01-24,,219640,False,https://open.spotify.com/track/09tYvFOFp1pKxZ8GJVlOXm,,medium_term,2026-06-02T21:59:56.757795+00:00,3.66,2020,2020s,Unknown
20,6XjsXIb1DUhsmhflFAODv3,DIAMONDS,Mora,0Q8NcsJwoCbZOHHW63su5S,"Mora, Dei V",ESTRELLA,0SoJvPHbKVhvmVJOp3kzp3,2023-08-28,,193367,True,https://open.spotify.com/track/6XjsXIb1DUhsmhflFAODv3,,medium_term,2026-06-02T21:59:56.757805+00:00,3.22,2023,2020s,Unknown
