rank,track_id,track_name,artist,artist_id,all_artists,album,album_id,release_date,popularity,duration_ms,explicit,external_url,preview_url,time_range,extracted_at,duration_min,release_year,era,popularity_category
1,4fwKpMyCBWCaj0W45a3emW,DIGITAL15,Yk It’s Junaa,4tgNxPUJKyOY0VkbzJ44iE,Yk It’s Junaa,DIGITAL15,3VSKr1IIgKqteToundEf0e,2025-09-09,,175007,True,https://open.spotify.com/track/4fwKpMyCBWCaj0W45a3emW,,short_term,2026-06-02T21:59:56.338987+00:00,2.92,2025,2020s,Unknown
2,514joG57v4yKTsfQmz7stz,Janice STFU,Drake,3TVXtAsR1Inumwj472S9r4,Drake,ICEMAN,0OAv7DCME2AV4q1KPO95HY,2026-05-15,,237344,True,https://open.spotify.com/track/514joG57v4yKTsfQmz7stz,,short_term,2026-06-02T21:59:56.339040+00:00,3.96,2026,2020s,Unknown
3,7KGHenqXZofXNm5MKDbT3J,Whisper My Name,Drake,3TVXtAsR1Inumwj472S9r4,Drake,ICEMAN,0OAv7DCME2AV4q1KPO95HY,2026-05-15,,222580,True,https://open.spotify.com/track/7KGHenqXZofXNm5MKDbT3J,,short_term,2026-06-02T21:59:56.339051+00:00,3.71,2026,2020s,Unknown
4,4c2Pc0NrfkesPR0jff6q3F,KETU TeCRÉ,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Bad Bunny,DeBÍ TiRAR MáS FOToS,5K79FLRUCSysQnVESLcTdb,2025-01-05,,250789,True,https://open.spotify.com/track/4c2Pc0NrfkesPR0jff6q3F,,short_term,2026-06-02T21:59:56.339060+00:00,4.18,2025,2020s,Unknown
5,2tAwNLAIBtgXdzQOtVq6mL,PIDE,Mora,0Q8NcsJwoCbZOHHW63su5S,"Mora, RaiNao",ESTRELLA,0SoJvPHbKVhvmVJOp3kzp3,2023-08-28,,207903,True,https://open.spotify.com/track/2tAwNLAIBtgXdzQOtVq6mL,,short_term,2026-06-02T21:59:56.339070+00:00,3.47,2023,2020s,Unknown
6,0kxfIsZDGSfAAdqD35YonF,YOU KNOW IT'S LOVEE,Yk It’s Junaa,4tgNxPUJKyOY0VkbzJ44iE,"Yk It’s Junaa, Myke Towers",YOU KNOW IT'S LOVEE,5ryAwuDL8fJt5BbA4bv4bx,2026-01-30,,171612,False,https://open.spotify.com/track/0kxfIsZDGSfAAdqD35YonF,,short_term,2026-06-02T21:59:56.339079+00:00,2.86,2026,2020s,Unknown
7,6JnO7N0JdEQ3BfYPJuya5N,Roto,Donaty,2dHbjVgpO3NvzY8D7yZvji,"Donaty, Bryant LR, Pikito Produce",No Es Dembow,45pG57UTaEFwHpKbP5WnhS,2026-05-07,,131052,True,https://open.spotify.com/track/6JnO7N0JdEQ3BfYPJuya5N,,short_term,2026-06-02T21:59:56.339088+00:00,2.18,2026,2020s,Unknown
8,13ZG0ttABjb0rpL84bOBm6,PERDISTE EL EMMY.,Alvaro Diaz,5J7rXWjtn5HzUkJ4Jet8Fr,"Alvaro Diaz, Tainy",OMAKASE,79TuXcubVSnQDvvvzEbIY2,2026-05-22,,243319,False,https://open.spotify.com/track/13ZG0ttABjb0rpL84bOBm6,,short_term,2026-06-02T21:59:56.339097+00:00,4.06,2026,2020s,Unknown
9,393OFJFZKIIv66JmJcNm9D,National Treasures,Drake,3TVXtAsR1Inumwj472S9r4,Drake,ICEMAN,0OAv7DCME2AV4q1KPO95HY,2026-05-15,,200830,True,https://open.spotify.com/track/393OFJFZKIIv66JmJcNm9D,,short_term,2026-06-02T21:59:56.339105+00:00,3.35,2026,2020s,Unknown
10,1xO3PpGchMqMmmF6OEtH5Y,Make Them Know,Drake,3TVXtAsR1Inumwj472S9r4,Drake,ICEMAN,0OAv7DCME2AV4q1KPO95HY,2026-05-15,,248285,True,https://open.spotify.com/track/1xO3PpGchMqMmmF6OEtH5Y,,short_term,2026-06-02T21:59:56.339114+00:00,4.14,2026,2020s,Unknown
11,3Rh4hPOaCCk98ktQIlnmDT,CUARTO TEMA,Loui Santana,6QoAK6MFPyiqmoTdFTsjlh,Loui Santana,58,0MP2I47Rf2iuBeB1eHnvSO,2020-04-30,,168000,True,https://open.spotify.com/track/3Rh4hPOaCCk98ktQIlnmDT,,short_term,2026-06-02T21:59:56.339121+00:00,2.8,2020,2020s,Unknown
12,36OUboJHvflOiJHR2e8X0A,PAL ME TIENEN DEMA,Maiky Pailon,2sRNZXIG2iwA17lHJjBP9P,"Maiky Pailon, Herido no muerto",PAL ME TIENEN DEMA,24he376YzgCqEjakYJ0ywD,2026-04-24,,119070,True,https://open.spotify.com/track/36OUboJHvflOiJHR2e8X0A,,short_term,2026-06-02T21:59:56.339131+00:00,1.98,2026,2020s,Unknown
13,2G4UMEKKLQtJ3FgNPJToti,Envenenau,Yk It’s Junaa,4tgNxPUJKyOY0VkbzJ44iE,Yk It’s Junaa,Huracan,5NVEOZ9m86QvE7Kub643vM,2025-03-26,,167044,True,https://open.spotify.com/track/2G4UMEKKLQtJ3FgNPJToti,,short_term,2026-06-02T21:59:56.339140+00:00,2.78,2025,2020s,Unknown
14,1oghNMGW42IhtQPNU6leZz,VAMOaCOCHI,Omar Courtz,3E12tRURRvPfHz0hAMCFYc,Omar Courtz,POR SI MAÑANA NO ESTOY,6A7uWpBb4nHbiBHWRlZi5f,2026-02-19,,199253,True,https://open.spotify.com/track/1oghNMGW42IhtQPNU6leZz,,short_term,2026-06-02T21:59:56.339148+00:00,3.32,2026,2020s,Unknown
15,02YMpD1xbZZzpZbuZNvmD7,Sideways,Gordo,4Ge9GwmWnOQsohwPTrXyHc,"Gordo, Drake",DIAMANTE,6KoGMkF6Fp3W9C339E5eVx,2024-07-26,,253770,False,https://open.spotify.com/track/02YMpD1xbZZzpZbuZNvmD7,,short_term,2026-06-02T21:59:56.339156+00:00,4.23,2024,2020s,Unknown
16,3nwcQXP0mBmXmlrirQxCkz,Slap The City (feat. Qendresa),Drake,3TVXtAsR1Inumwj472S9r4,"Drake, Qendresa",HABIBTI,0P6B5R3yRSkhkmequL5Yno,2026-05-15,,202105,True,https://open.spotify.com/track/3nwcQXP0mBmXmlrirQxCkz,,short_term,2026-06-02T21:59:56.339163+00:00,3.37,2026,2020s,Unknown
17,3xltAYY9fbM1v9DUY2LFdt,WoW,Yk It’s Junaa,4tgNxPUJKyOY0VkbzJ44iE,Yk It’s Junaa,Huracan,5NVEOZ9m86QvE7Kub643vM,2025-03-26,,158963,True,https://open.spotify.com/track/3xltAYY9fbM1v9DUY2LFdt,,short_term,2026-06-02T21:59:56.339172+00:00,2.65,2025,2020s,Unknown
18,55wlsNYqcfiQsHuX8l0jmF,Make Them Cry,Drake,3TVXtAsR1Inumwj472S9r4,Drake,ICEMAN,0OAv7DCME2AV4q1KPO95HY,2026-05-15,,307681,True,https://open.spotify.com/track/55wlsNYqcfiQsHuX8l0jmF,,short_term,2026-06-02T21:59:56.339180+00:00,5.13,2026,2020s,Unknown
19,6p0Ai6wRjz9CmjqkhoKOwf,Road Trips,Drake,3TVXtAsR1Inumwj472S9r4,Drake,MAID OF HONOUR,71yBvOeRZ9os9LYFEy9eOk,2026-05-15,,243232,True,https://open.spotify.com/track/6p0Ai6wRjz9CmjqkhoKOwf,,short_term,2026-06-02T21:59:56.339188+00:00,4.05,2026,2020s,Unknown
20,0O6lm9N6qJclxNFHl51nkr,Hoe Phase,Drake,3TVXtAsR1Inumwj472S9r4,Drake,MAID OF HONOUR,71yBvOeRZ9os9LYFEy9eOk,2026-05-15,,203746,True,https://open.spotify.com/track/0O6lm9N6qJclxNFHl51nkr,,short_term,2026-06-02T21:59:56.339196+00:00,3.4,2026,2020s,Unknown
21,7xDBtwxsife3u8luqSbSPR,NO ME SUELTES,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,SATURNO,5AcRssiG0Zqu3lqYW7hMoM,2023-01-24,,162857,True,https://open.spotify.com/track/7xDBtwxsife3u8luqSbSPR,,short_term,2026-06-02T21:59:56.339204+00:00,2.71,2023,2020s,Unknown
22,08F16baYbciTva9P4BvpiI,MAFIA,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,ESCAPE PLAN / MAFIA,5FB5E1fwFeVqpz2CCzRSve,2021-11-05,,240000,True,https://open.spotify.com/track/08F16baYbciTva9P4BvpiI,,short_term,2026-06-02T21:59:56.339213+00:00,4.0,2021,2020s,Unknown
23,5kcUyHYlkslvtvsUDcuX3e,4life,Kris Floyd,7aG8YUI5alfF2pi0n5Cg5H,Kris Floyd,29 (Mixtape),2PEFU8wUp6740B4TR1LNfz,2024-10-29,,135649,True,https://open.spotify.com/track/5kcUyHYlkslvtvsUDcuX3e,,short_term,2026-06-02T21:59:56.339222+00:00,2.26,2024,2020s,Unknown
24,6DlsjtDtHj75XUzE7HtuY3,DEDICANDOME,Myke Towers,7iK8PXO48WeuP03g8YR51W,Myke Towers,LVEU: VIVE LA TUYA...NO LA MIA,1ZVJTCW5rxpHKNgsNL91J2,2023-09-18,,154081,True,https://open.spotify.com/track/6DlsjtDtHj75XUzE7HtuY3,,short_term,2026-06-02T21:59:56.339229+00:00,2.57,2023,2020s,Unknown
25,7pS1Sy6jfALX3rvXDSqqDT,Llámame,Yk It’s Junaa,4tgNxPUJKyOY0VkbzJ44iE,Yk It’s Junaa,Huracan,5NVEOZ9m86QvE7Kub643vM,2025-03-26,,121347,True,https://open.spotify.com/track/7pS1Sy6jfALX3rvXDSqqDT,,short_term,2026-06-02T21:59:56.339238+00:00,2.02,2025,2020s,Unknown
26,5xqYr8nQrffPIoAFRJWpNF,El Sultan,Amenazzy,6kq4GHwUcUojGIu0ziSNXf,"Amenazzy, Alofoke Music",El Sultan,2v4XazZcpTLdAc2vYWgfJI,2026-05-04,,125610,True,https://open.spotify.com/track/5xqYr8nQrffPIoAFRJWpNF,,short_term,2026-06-02T21:59:56.339247+00:00,2.09,2026,2020s,Unknown
27,1ijYk2EYwj0rGqYwtjiAUJ,Burning Bridges,Drake,3TVXtAsR1Inumwj472S9r4,Drake,ICEMAN,0OAv7DCME2AV4q1KPO95HY,2026-05-15,,225990,True,https://open.spotify.com/track/1ijYk2EYwj0rGqYwtjiAUJ,,short_term,2026-06-02T21:59:56.339256+00:00,3.77,2026,2020s,Unknown
28,3qM0vBxIe4VUbK0Z0smuVP,Medusa,JHAYCO,6nVcHLIgY5pE2YCl8ubca1,"JHAYCO, Anuel AA, J Balvin",Medusa,00WVnPPMH4wPiQk7QgLVgn,2020-02-05,,305333,True,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP,,short_term,2026-06-02T21:59:56.339264+00:00,5.09,2020,2020s,Unknown
29,4z46E3coZuv7TeGawEd4Ze,Juguete,Yan Block,6TKygPpVT29oGUogu4J9Ec,"Yan Block, NTG, SAIKO, SHB",Juguete,6I7lY45BATN3V19Kqlhmnv,2024-10-31,,203265,True,https://open.spotify.com/track/4z46E3coZuv7TeGawEd4Ze,,short_term,2026-06-02T21:59:56.339272+00:00,3.39,2024,2020s,Unknown
30,5LlqSCrhvYm97QwfhmY7tc,Desaparecer,Mora,0Q8NcsJwoCbZOHHW63su5S,Mora,Primer Dia de Clases,5r8T7S23cVDSd7a045h4N5,2021-02-05,,165973,True,https://open.spotify.com/track/5LlqSCrhvYm97QwfhmY7tc,,short_term,2026-06-02T21:59:56.339279+00:00,2.77,2021,2020s,Unknown
31,752l1xT5G1OHzg71ZBnTyZ,Superman,Black Coffee,6wMr4zKPrrR0UVz08WtUWc,Black Coffee,Home Brewed,4z9UkNYW3T0EZzcGNjBsSz,2009-11-13,,433626,False,https://open.spotify.com/track/752l1xT5G1OHzg71ZBnTyZ,,short_term,2026-06-02T21:59:56.339287+00:00,7.23,2009,2000s,Unknown
32,7CGUgOBXrfaXXvY73GzOXE,UNA BABY EN SANTIAGO,Lil Naay,3hfWiirwdO1ijoZQwj7uzZ,Lil Naay,THE MVP OF THE YEAR,1NDIUPPPe1e55wi9JTnEfY,2025-12-25,,165738,True,https://open.spotify.com/track/7CGUgOBXrfaXXvY73GzOXE,,short_term,2026-06-02T21:59:56.339295+00:00,2.76,2025,2020s,Unknown
33,7COiiObIVJIdBcW3J43Iy2,2 Hard 4 The Radio,Drake,3TVXtAsR1Inumwj472S9r4,Drake,ICEMAN,0OAv7DCME2AV4q1KPO95HY,2026-05-15,,183500,True,https://open.spotify.com/track/7COiiObIVJIdBcW3J43Iy2,,short_term,2026-06-02T21:59:56.339302+00:00,3.06,2026,2020s,Unknown
34,7jnSlMG2jKJmKvAWxufk2I,WHAT U NEED? (SexPlaylist 2),Omar Courtz,3E12tRURRvPfHz0hAMCFYc,"Omar Courtz, Myke Towers",POR SI MAÑANA NO ESTOY,6A7uWpBb4nHbiBHWRlZi5f,2026-02-19,,265833,True,https://open.spotify.com/track/7jnSlMG2jKJmKvAWxufk2I,,short_term,2026-06-02T21:59:56.339311+00:00,4.43,2026,2020s,Unknown
35,7w3G5VXJLLbuaWylG7hvVi,S E X P L A Y L I S T 1,Omar Courtz,3E12tRURRvPfHz0hAMCFYc,"Omar Courtz, Rauw Alejandro",PRIMERA MUSA,3C5uwdRE5QRoXSGPPxpDd4,2024-09-20,,237853,True,https://open.spotify.com/track/7w3G5VXJLLbuaWylG7hvVi,,short_term,2026-06-02T21:59:56.339319+00:00,3.96,2024,2020s,Unknown
